name,value
Access_Disk,0
Caption_Disk,C:
Compressed_Disk,False
CreationClassName_Disk,Win32_LogicalDisk
Description_Disk,Local Fixed Disk
DeviceID_Disk,C:
DriveType_Disk,3
FileSystem_Disk,NTFS
FreeSpace_Disk,64629878784
MaximumComponentLength_Disk,255
MediaType_Disk,12
Name_Disk,C:
Size_Disk,157286395904
SupportsDiskQuotas_Disk,False
SupportsFileBasedCompression_Disk,True
SystemCreationClassName_Disk,Win32_ComputerSystem
SystemName_Disk,BARUCH-LENOVO
VolumeName_Disk,
VolumeSerialNumber_Disk,BAEDAEE8
Access_Disk,0
Caption_Disk,E:
Compressed_Disk,False
CreationClassName_Disk,Win32_LogicalDisk
Description_Disk,Local Fixed Disk
DeviceID_Disk,E:
DriveType_Disk,3
FileSystem_Disk,NTFS
FreeSpace_Disk,144733741056
MaximumComponentLength_Disk,255
MediaType_Disk,12
Name_Disk,E:
Size_Disk,165002866688
SupportsDiskQuotas_Disk,False
SupportsFileBasedCompression_Disk,True
SystemCreationClassName_Disk,Win32_ComputerSystem
SystemName_Disk,BARUCH-LENOVO
VolumeName_Disk,Backup
VolumeSerialNumber_Disk,DE60CDA9
Access_Disk,0
Caption_Disk,F:
Compressed_Disk,False
CreationClassName_Disk,Win32_LogicalDisk
Description_Disk,Local Fixed Disk
DeviceID_Disk,F:
DriveType_Disk,3
FileSystem_Disk,NTFS
FreeSpace_Disk,24799055872
MaximumComponentLength_Disk,255
MediaType_Disk,12
Name_Disk,F:
Size_Disk,157286395904
SupportsDiskQuotas_Disk,False
SupportsFileBasedCompression_Disk,True
SystemCreationClassName_Disk,Win32_ComputerSystem
SystemName_Disk,BARUCH-LENOVO
VolumeName_Disk,îñîëéí
VolumeSerialNumber_Disk,A897D364
Availability_SCSI,3
Caption_SCSI,Microsoft Storage Spaces Controller
ConfigManagerErrorCode_SCSI,0
ConfigManagerUserConfig_SCSI,False
CreationClassName_SCSI,Win32_SCSIController
Description_SCSI,Microsoft Storage Spaces Controller
DeviceID_SCSI,ROOT\SPACEPORT\0000
DriverName_SCSI,spaceport
Manufacturer_SCSI,Microsoft
Name_SCSI,Microsoft Storage Spaces Controller
PNPDeviceID_SCSI,ROOT\SPACEPORT\0000
ProtocolSupported_SCSI,2
Status_SCSI,OK
StatusInfo_SCSI,3
SystemCreationClassName_SCSI,Win32_ComputerSystem
SystemName_SCSI,BARUCH-LENOVO
Caption_IDE,Standard SATA AHCI Controller
ConfigManagerErrorCode_IDE,0
ConfigManagerUserConfig_IDE,False
CreationClassName_IDE,Win32_IDEController
Description_IDE,Standard SATA AHCI Controller
DeviceID_IDE,PCI\VEN_8086&DEV_A103&SUBSYS_380A17AA&REV_31\3&11583659&0&B8
Manufacturer_IDE,Standard SATA AHCI Controller
Name_IDE,Standard SATA AHCI Controller
PNPDeviceID_IDE,PCI\VEN_8086&DEV_A103&SUBSYS_380A17AA&REV_31\3&11583659&0&B8
ProtocolSupported_IDE,37
Status_IDE,OK
SystemCreationClassName_IDE,Win32_ComputerSystem
SystemName_IDE,BARUCH-LENOVO
BytesPerSector_DiskDrive,512
Capabilities_DiskDrive,3
Capabilities_DiskDrive,4
CapabilityDescriptions_DiskDrive,Random Access
CapabilityDescriptions_DiskDrive,Supports Writing
Caption_DiskDrive,SanDisk Ultra II 480GB
ConfigManagerErrorCode_DiskDrive,0
ConfigManagerUserConfig_DiskDrive,False
CreationClassName_DiskDrive,Win32_DiskDrive
Description_DiskDrive,Disk drive
DeviceID_DiskDrive,\\.\PHYSICALDRIVE0
FirmwareRevision_DiskDrive,X41100RL
Index_DiskDrive,0
InterfaceType_DiskDrive,IDE
Manufacturer_DiskDrive,(Standard disk drives)
MediaLoaded_DiskDrive,True
MediaType_DiskDrive,Fixed hard disk media
Model_DiskDrive,SanDisk Ultra II 480GB
Name_DiskDrive,\\.\PHYSICALDRIVE0
Partitions_DiskDrive,4
PNPDeviceID_DiskDrive,SCSI\DISK&VEN_SANDISK&PROD_ULTRA_II_480GB\4&648332&0&020000
SCSIBus_DiskDrive,2
SCSILogicalUnit_DiskDrive,0
SCSIPort_DiskDrive,0
SCSITargetId_DiskDrive,0
SectorsPerTrack_DiskDrive,63
SerialNumber_DiskDrive,160420444652
Signature_DiskDrive,1040500042
Size_DiskDrive,480101368320
Status_DiskDrive,OK
SystemCreationClassName_DiskDrive,Win32_ComputerSystem
SystemName_DiskDrive,BARUCH-LENOVO
TotalCylinders_DiskDrive,58369
TotalHeads_DiskDrive,255
TotalSectors_DiskDrive,937697985
TotalTracks_DiskDrive,14884095
TracksPerCylinder_DiskDrive,255
AddressWidth_Processor,64
Architecture_Processor,9
AssetTag_Processor,To Be Filled By O.E.M.
Availability_Processor,3
Caption_Processor,Intel64 Family 6 Model 94 Stepping 3
Characteristics_Processor,252
CpuStatus_Processor,1
CreationClassName_Processor,Win32_Processor
CurrentClockSpeed_Processor,2592
CurrentVoltage_Processor,9
DataWidth_Processor,64
Description_Processor,Intel64 Family 6 Model 94 Stepping 3
DeviceID_Processor,CPU0
ExtClock_Processor,100
Family_Processor,198
L2CacheSize_Processor,1024
L3CacheSize_Processor,6144
L3CacheSpeed_Processor,0
Level_Processor,6
LoadPercentage_Processor,3
Manufacturer_Processor,GenuineIntel
MaxClockSpeed_Processor,2592
Name_Processor,Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz
NumberOfCores_Processor,4
NumberOfEnabledCore_Processor,4
NumberOfLogicalProcessors_Processor,8
PartNumber_Processor,To Be Filled By O.E.M.
PowerManagementSupported_Processor,False
ProcessorId_Processor,BFEBFBFF000506E3
ProcessorType_Processor,3
Revision_Processor,24067
Role_Processor,CPU
SecondLevelAddressTranslationExtensions_Processor,True
SerialNumber_Processor,To Be Filled By O.E.M.
SocketDesignation_Processor,U3E1
